asset,quantity,entry_price,cost_basis,currency,notes
BTC,0.05681818,52800,3000,EUR,BTC purchase 1
BTC,0.01828154,54700,1000,EUR,BTC purchase 2
BTC,0.03809524,52500,2000,EUR,BTC purchase 3
BTC,0.00001953,51200,1,EUR,BTC small add
