symbol,date,close,rsi2,ma200,above_ma200,status,decision,model,condition,exit,historical_win_rate,historical_avg_return,historical_median_return,historical_worst_return,confidence
BTC,2026-06-15,66825.5,100.0,77525.47,False,RESEARCH_ONLY,RESEARCH ONLY,BTC D1 RSI2 Mean Reversion,RSI2 < 10,3 days,56.1,-0.13,0.48,-10.52,NONE
ETH,2026-06-15,1829.99,100.0,2402.06,False,CANDIDATE_PLUS,NO SIGNAL,ETH D1 RSI2 + MA200,RSI2 < 10 and Close > MA200,3 days,52.38,1.07,0.01,-8.09,NONE
