asset,date,close,rsi2,current_phase,current_oversold_duration,episode_start_date,episode_start_close,episode_drawdown_pct
BTC,2026-06-27,60086.8,100.0,NO_OVERSOLD,0,,,
ETH,2026-06-27,1574.3,84.13,NO_OVERSOLD,0,,,
SOL,2026-06-27,70.85,81.64,NO_OVERSOLD,0,,,
XRP,2026-06-27,1.05,100.0,NO_OVERSOLD,0,,,
LINK,2026-06-27,7.29,65.79,NO_OVERSOLD,0,,,
ADA,2026-06-27,0.14,56.97,NO_OVERSOLD,0,,,
AVAX,2026-06-27,6.38,62.32,NO_OVERSOLD,0,,,
DOGE,2026-06-27,0.07,40.43,NO_OVERSOLD,0,,,
LTC,2026-06-27,42.18,100.0,NO_OVERSOLD,0,,,
