symbol,date,close,rsi2,ma200,above_ma200,decision,model,condition,exit,historical_win_rate,historical_avg_return,historical_median_return,historical_worst_return,confidence
BTC,2026-06-15,66825.5,100.0,77525.47,False,NO SIGNAL,BTC D1 RSI2 Mean Reversion,RSI2 < 10,3 days,60.95,0.59,0.83,-10.52,NONE
ETH,2026-06-15,1829.99,100.0,2402.06,False,NO SIGNAL,ETH D1 RSI2 + MA200,RSI2 < 10 and Close > MA200,3 days,55.0,1.05,1.14,-8.09,NONE
