asset,entry_day,hold_days,trades,win_rate_pct,avg_return_pct,median_return_pct,avg_win_pct,avg_loss_pct,profit_factor,expected_value_pct,worst_return_pct,best_return_pct,quality_score,payoff_ratio,loss_rate_pct,gross_profit_pct,gross_loss_pct,return_std_pct,downside_std_pct,sharpe_like,sortino_like,max_consecutive_losses,max_consecutive_wins
BTC,3,9,98,54.08,0.78,1.13,5.69,-5.0,1.34,0.78,-17.26,28.05,89.65,1.14,45.92,301.36,224.88,6.8,3.85,0.11,0.2,6.0,9.0
BTC,3,10,98,55.1,0.73,0.85,5.96,-5.7,1.28,0.73,-28.77,27.11,86.75,1.05,44.9,321.73,250.59,7.52,5.21,0.1,0.14,6.0,9.0
ETH,1,1,106,47.17,-0.13,-0.1,2.99,-2.91,0.92,-0.13,-14.89,21.91,32.08,1.03,52.83,149.57,163.15,4.48,3.05,-0.03,-0.04,5.0,6.0
ETH,1,2,106,54.72,0.31,0.29,3.72,-3.8,1.18,0.31,-14.06,29.5,68.12,0.98,45.28,215.73,182.4,5.51,3.09,0.06,0.1,6.0,6.0
ETH,1,3,105,55.24,0.19,0.32,4.63,-5.3,1.08,0.19,-19.54,42.7,61.06,0.87,44.76,268.55,249.12,7.33,4.41,0.03,0.04,4.0,6.0
ETH,1,4,105,58.1,0.49,0.66,5.25,-6.11,1.19,0.49,-21.0,38.87,76.67,0.86,41.9,320.36,268.9,7.92,4.75,0.06,0.1,4.0,6.0
ETH,1,5,105,52.38,0.64,0.42,6.57,-5.87,1.23,0.64,-25.17,37.76,81.34,1.12,47.62,361.33,293.66,8.86,5.59,0.07,0.12,6.0,5.0
ETH,1,6,105,51.43,0.36,0.17,7.4,-7.09,1.11,0.36,-23.96,47.96,67.21,1.04,48.57,399.83,361.69,10.29,5.48,0.04,0.07,6.0,7.0
ETH,1,7,105,55.24,0.58,0.75,7.38,-7.82,1.17,0.58,-35.28,44.1,78.62,0.94,44.76,428.26,367.34,10.71,6.88,0.05,0.08,6.0,7.0
ETH,1,8,105,51.43,0.62,0.13,8.24,-7.46,1.17,0.62,-26.82,40.66,78.61,1.1,48.57,445.09,380.42,10.68,5.37,0.06,0.11,6.0,6.0
