asset,entry_day,hold_days,trades,win_rate_pct,avg_return_pct,median_return_pct,avg_win_pct,avg_loss_pct,profit_factor,expected_value_pct,worst_return_pct,best_return_pct
QQQ,3,5,34,52.94,0.17,0.08,1.67,-1.51,1.24,0.17,-4.62,4.5
QQQ,3,6,34,50.0,0.19,0.06,1.92,-1.55,1.24,0.19,-6.76,4.4
QQQ,3,7,34,58.82,0.04,0.31,1.92,-2.65,1.04,0.04,-6.75,5.23
QQQ,3,8,34,58.82,0.55,0.67,2.4,-2.08,1.65,0.55,-6.75,6.93
QQQ,3,9,33,57.58,0.83,0.53,2.72,-1.74,2.12,0.83,-6.55,8.28
QQQ,3,10,33,60.61,1.15,0.76,2.73,-1.27,3.31,1.15,-3.94,9.0
GLD,1,1,39,64.1,0.69,0.4,1.78,-1.46,2.54,0.69,-4.47,5.4
GLD,1,2,39,58.97,0.43,0.24,2.05,-1.9,1.55,0.43,-7.14,5.8
GLD,1,3,39,66.67,0.63,0.9,2.45,-2.99,1.63,0.63,-9.95,12.92
GLD,1,4,38,60.53,0.52,0.66,2.54,-2.58,1.51,0.52,-9.95,10.14
GLD,1,5,38,42.11,0.1,-0.13,3.27,-2.21,1.07,0.1,-11.04,8.79
GLD,1,6,38,44.74,-0.13,-0.15,3.12,-2.76,0.91,-0.13,-11.93,9.59
GLD,1,7,38,55.26,-0.07,0.88,2.76,-3.56,0.96,-0.07,-9.89,9.73
GLD,1,8,38,55.26,0.17,0.42,3.41,-3.83,1.1,0.17,-11.55,8.18
GLD,1,9,38,57.89,0.41,0.65,3.49,-3.82,1.26,0.41,-12.11,10.96
GLD,1,10,37,54.05,0.49,1.18,4.08,-3.72,1.29,0.49,-12.61,13.7
GLD,2,1,39,43.59,-0.26,0.0,1.0,-1.42,0.63,-0.26,-5.38,3.65
GLD,2,2,39,51.28,-0.06,0.04,1.55,-1.77,0.93,-0.06,-7.25,10.1
GLD,2,3,38,55.26,-0.18,0.43,1.69,-2.64,0.84,-0.18,-6.86,7.39
GLD,2,4,38,36.84,-0.6,-0.51,2.33,-2.3,0.59,-0.6,-7.98,6.83
GLD,2,5,38,34.21,-0.83,-0.77,2.36,-2.48,0.49,-0.83,-8.9,7.61
GLD,2,6,38,50.0,-0.76,0.01,1.77,-3.29,0.54,-0.76,-8.71,7.75
GLD,2,7,38,52.63,-0.53,0.15,2.33,-3.7,0.7,-0.53,-10.46,6.65
GLD,2,8,38,55.26,-0.29,0.38,2.61,-3.87,0.83,-0.29,-10.46,8.96
GLD,2,9,37,51.35,-0.24,0.05,3.12,-3.8,0.87,-0.24,-11.54,11.65
GLD,2,10,37,48.65,0.13,-0.22,4.21,-3.73,1.07,0.13,-12.42,19.96
GLD,3,1,39,56.41,0.19,0.24,1.31,-1.35,1.34,0.19,-3.83,7.44
GLD,3,2,38,55.26,0.12,0.23,1.62,-1.73,1.16,0.12,-6.42,4.79
GLD,3,3,38,42.11,-0.29,-0.1,2.05,-2.0,0.75,-0.29,-5.67,6.62
GLD,3,4,38,36.84,-0.52,-0.62,2.3,-2.17,0.62,-0.52,-5.78,7.4
