segment,trades,final_capital,total_return_pct,win_rate_pct,avg_trade_pct,median_trade_pct,worst_trade_pct,best_trade_pct,max_drawdown_pct
TRAIN,9,12325.06,23.25,55.56,2.61,0.89,-5.72,18.54,-8.23
TEST,0,10000.0,0.0,,,,,,
