symbol,condition,horizon,signals,win_rate_pct,avg_return_pct,median_return_pct,worst_return_pct,best_return_pct
BTC,RSI2 < 10,1d,210,46.67,-0.05,-0.08,-13.91,12.2
BTC,RSI2 < 10,3d,210,60.95,0.59,0.83,-10.52,14.25
BTC,RSI2 < 10,5d,209,57.89,0.64,0.55,-20.08,13.49
BTC,RSI2 < 10,10d,206,53.4,0.78,0.32,-18.14,31.63
ETH,RSI2 < 10,1d,208,51.92,0.1,0.21,-14.89,21.91
ETH,RSI2 < 10,3d,208,55.77,0.3,0.55,-19.54,42.7
ETH,RSI2 < 10,5d,207,51.69,0.27,0.19,-25.51,37.76
ETH,RSI2 < 10,10d,204,45.1,0.06,-0.78,-25.88,44.29
