symbol,model,trades,final_capital,total_return_pct,win_rate_pct,avg_trade_pct,median_trade_pct,worst_trade_pct,best_trade_pct,max_drawdown_pct
BTC,BTC_D1_RSI2,82,7657.36,-23.43,53.66,-0.26,0.36,-10.52,5.93,-31.32
ETH,ETH_D1_RSI2_MA200,19,11257.49,12.57,47.37,0.84,-0.36,-8.09,18.54,-20.79
