asset,entry_day,hold_days,trades,win_rate_pct,avg_return_pct,median_return_pct,avg_win_pct,avg_loss_pct,profit_factor,expected_value_pct,worst_return_pct,best_return_pct,quality_score
ADA,2,5,98,48.98,1.39,-0.19,9.91,-6.8,1.4,1.39,-22.35,66.29,103.192
BTC,3,4,98,57.14,1.07,1.16,4.15,-3.1,1.83,1.07,-17.29,12.69,112.256
DOGE,3,4,102,52.94,0.79,0.23,7.25,-6.47,1.26,0.79,-27.18,45.79,87.976
ETH,2,9,105,53.33,0.9,0.79,8.83,-8.16,1.24,0.9,-26.78,43.43,92.132
LINK,3,4,105,51.43,1.38,0.57,7.85,-5.47,1.52,1.38,-25.73,40.62,116.172
LTC,2,3,108,61.11,1.41,1.26,4.85,-3.99,1.91,1.41,-13.6,33.82,129.04399999999998
SOL,3,2,98,55.1,0.62,0.68,4.39,-4.0,1.34,0.62,-14.91,13.15,83.64
XRP,3,10,97,46.39,2.08,-0.83,12.84,-7.23,1.54,2.08,-22.14,73.73,132.556
